order_id,product_id,customer_id,order_date,sales_amount,discount,quantity,profit
ORD78379,PROD0061,CUST0045,08/10/2023,2910.84,0.22,8,581.68
ORD79659,PROD0034,CUST0587,02/10/2024,1164.12,0.19,3,205.25
ORD68251,PROD0004,CUST0732,10/22/2023,382.37,0.2,2,93.96
ORD33696,PROD0114,CUST0531,09/15/2023,464.38,0.22,4,60.36
ORD70909,PROD0058,CUST0653,12/19/2023,1205.75,0.06,3,72.91
ORD22214,PROD0061,CUST0834,07/12/2023,1791.28,0.04,4,434.61
ORD58049,PROD0025,CUST0763,01/16/2024,234.3,0.2,7,53.66
ORD21240,PROD0019,CUST0320,09/26/2023,1474.02,0.25,4,136.65
ORD37081,PROD0002,CUST0952,08/19/2023,1733.41,0.06,5,212.25
ORD89666,PROD0066,CUST0190,07/02/2023,596.53,0.15,2,49.6
ORD74143,PROD0118,CUST0771,12/01/2023,200.13,0.01,1,42.95
ORD97186,PROD0037,CUST0406,03/31/2024,2609.25,0.09,9,563.28
ORD95086,PROD0005,CUST0192,05/13/2024,827.42,0.24,7,136.04
ORD13507,PROD0118,CUST0709,12/14/2023,1801.16,0.01,9,231.62
ORD14698,PROD0012,CUST0014,08/16/2023,260.92,0.18,5,31.49
ORD78882,PROD0111,CUST0902,11/22/2023,36.41,0.16,3,4
ORD45238,PROD0101,CUST0357,02/20/2024,73.85,0,7,6.16
ORD74445,PROD0102,CUST0653,05/02/2024,949.3,0.16,4,214.4
ORD84545,PROD0019,CUST0696,03/16/2024,3233.02,0.06,7,170.08
ORD51662,PROD0051,CUST0250,01/11/2024,1632.58,0.09,4,368.8
ORD39089,PROD0113,CUST0860,09/16/2023,256.75,0.12,4,14.13
ORD63294,PROD0075,CUST0200,10/16/2023,956.88,0.09,4,65.46
ORD87163,PROD0057,CUST0929,04/09/2024,144.73,0.24,6,16.89
ORD48495,PROD0034,CUST0640,10/23/2023,1336.58,0.07,3,161.53
ORD55212,PROD0114,CUST0030,06/12/2024,238.14,0.2,2,34.96
ORD30485,PROD0117,CUST0875,03/12/2024,3137.15,0.07,8,518.7
ORD96271,PROD0097,CUST0090,04/17/2024,20.78,0.17,2,2.19
ORD30626,PROD0116,CUST0024,10/14/2023,1656.85,0.17,9,303.94
ORD95902,PROD0113,CUST0155,12/27/2023,542.67,0.07,8,99.85
ORD22722,PROD0047,CUST0233,12/09/2023,1706.83,0.2,9,225.71
ORD73482,PROD0007,CUST0707,07/05/2023,2120.45,0.16,7,119.87
ORD70529,PROD0109,CUST0799,03/26/2024,140.2,0.3,3,12.37
ORD63735,PROD0001,CUST0717,09/08/2023,2226.67,0.07,9,294.5
ORD75621,PROD0091,CUST0687,12/06/2023,888.33,0.16,3,75.45
ORD83700,PROD0071,CUST0195,01/13/2024,1196.96,0.11,3,236.64
ORD36224,PROD0033,CUST0861,06/01/2024,172.48,0.12,7,33.82
ORD39799,PROD0104,CUST0538,10/06/2023,514.22,0.06,4,52.91
ORD40238,PROD0062,CUST0166,12/22/2023,592.4,0.2,2,94.42
ORD95395,PROD0004,CUST0831,08/04/2023,212.69,0.11,1,15.97
ORD48616,PROD0076,CUST0066,08/04/2023,2725.14,0.25,8,569.59
ORD70610,PROD0084,CUST0511,06/13/2024,231.74,0.11,2,28.14
ORD85329,PROD0045,CUST0101,09/03/2023,1494.6,0.25,4,74.91
ORD12292,PROD0049,CUST0796,12/16/2023,1061.62,0.06,3,84.08
